num,width,height
851,43.08,16.46
852,13.22,4.89
853,15.00,25.00
854,48.10,5.58
855,35.71,49.90
856,6.00,8.00
857,4.00,6.00
858,31.77,75.48
859,17.53,32.28
860,19.09,7.78
861,3.00,6.00
862,37.41,26.43
863,48.74,18.80
864,41.44,17.16
865,1.00,5.00
866,14.88,53.81
867,18.38,18.38
868,12.82,8.38
869,5.00,4.00
870,9.00,7.00
871,3.00,4.00
872,5.00,7.00
873,7.27,4.11
874,3.00,3.00
875,5.66,12.02
876,51.43,24.49
877,5.81,4.02
878,9.00,8.00
879,14.65,45.07
880,47.01,32.11
881,7.00,12.00
882,12.48,11.09
883,44.15,16.68
884,12.02,6.36
885,12.40,35.10
886,3.54,4.24
887,4.00,4.00
888,32.76,5.71
889,9.00,21.00
890,6.00,9.00
891,4.00,6.00
892,30.59,7.70
893,26.99,49.91
894,14.26,23.25
895,4.74,10.12
896,9.00,7.00
897,4.00,4.00
898,10.95,10.63
899,10.00,11.00
900,6.00,3.00
901,3.00,4.00
902,2.00,5.00
903,25.49,13.86
904,12.80,23.40
905,15.56,8.49
906,13.31,10.82
907,33.13,5.77
908,28.86,9.70
909,8.20,0.99
910,3.00,10.00
911,6.00,4.00
912,3.00,3.00
913,20.61,8.34
914,18.36,29.40
915,44.46,69.49
916,13.00,9.00
917,6.00,10.00
918,29.70,19.09
919,15.16,134.84
920,17.77,82.38
921,83.35,26.52
922,12.18,19.38
923,3.85,10.29
924,3.79,7.27
925,9.02,3.92
926,8.00,7.00
927,0.00,0.00
928,4.43,5.06
929,12.22,20.91
930,3.00,6.00
931,11.00,11.00
932,36.68,11.54
933,9.65,11.86
934,14.00,15.00
935,19.64,10.71
936,7.42,10.85
937,3.00,4.00
938,6.25,16.87
939,13.00,13.00
940,0.00,0.00
941,23.00,12.00
942,5.41,25.76
943,6.41,15.55
944,10.22,18.56
945,7.60,4.47
946,23.18,8.46
947,4.58,11.24
948,4.95,39.04
949,16.00,13.00
950,3.00,6.00
951,8.38,15.44
952,2.11,9.05
953,1.29,14.13
954,63.99,15.29
955,2.83,0.00
956,12.33,4.11
957,29.15,37.34
958,5.00,7.00
959,15.00,46.00
960,11.09,17.47
961,0.73,6.06
962,37.11,17.53
963,5.00,11.00
964,12.54,6.47
965,12.63,10.96
966,21.21,12.73
967,35.57,24.56
968,6.40,1.20
969,33.05,17.08
970,11.95,9.12
971,3.54,3.54
972,6.79,4.85
973,11.40,5.38
974,19.66,5.97
975,4.00,6.00
976,4.00,5.00
977,3.00,0.00
978,12.52,13.38
979,16.28,1.75
980,13.04,4.16
981,11.07,5.73
982,5.70,11.84
983,16.52,9.65
984,6.00,12.00
985,113.69,26.17
986,2.00,14.00
987,11.00,13.00
988,18.97,7.59
989,1.00,0.00
990,0.71,3.54
991,4.00,0.00
992,3.22,12.16
993,15.52,5.70
994,5.49,14.12
995,19.72,9.86
996,2.00,6.00
997,46.75,20.30
998,5.58,11.88
999,3.00,6.00
1000,13.55,8.23
1001,4.60,5.80
1002,4.47,4.02
1003,15.56,54.92
1004,5.12,11.69
1005,55.97,21.44
1006,3.61,1.11
1007,5.93,25.40
1008,12.00,11.00
1009,19.68,17.44
1010,10.04,3.68
1011,4.61,14.07
1012,3.13,11.18
1013,18.68,4.53
1014,12.91,29.85
1015,12.82,29.66
1016,1.20,15.00
1017,19.00,28.00
1018,14.32,25.16
1019,28.07,10.71
1020,13.63,55.78
1021,14.70,14.14
1022,18.08,10.03
1023,4.24,13.44
1024,15.76,6.55
1025,5.00,3.00
1026,24.82,12.29
1027,44.97,21.93
1028,0.00,0.00
1029,11.00,9.00
1030,4.00,3.00
1031,0.00,0.00
1032,6.32,5.38
1033,6.01,1.58
1034,0.00,0.00
1035,45.85,14.55
1036,6.00,2.00
1037,17.34,22.78
1038,5.00,7.00
1039,25.46,14.14
1040,2.00,0.00
1041,27.00,12.60
1042,22.00,10.00
1043,5.00,4.00
1044,6.99,13.99
1045,13.93,12.26
1046,19.53,42.36
1047,9.30,5.46
1048,2.12,0.71
1049,27.38,63.39
1050,62.38,18.99
1051,45.85,56.84
1052,19.40,11.64
1053,24.62,22.01
1054,11.15,10.29
1055,6.66,3.88
1056,5.58,54.58
1057,21.82,12.65
1058,6.90,53.71
1059,12.00,14.00
1060,1.34,5.81
1061,3.00,7.00
1062,14.26,30.54
1063,6.31,25.47
1064,27.55,27.55
1065,48.17,13.97
1066,14.56,34.65
1067,1.00,0.00
1068,61.85,25.52
1069,7.00,4.00
1070,14.66,36.97
1071,5.00,9.00
1072,8.54,1.05
1073,11.00,7.00
1074,12.93,2.63
1075,3.95,10.03
1076,8.25,13.02
1077,8.73,28.64
1078,4.46,25.07
1079,3.00,6.00
1080,6.00,4.00
1081,29.27,12.82
1082,8.00,4.12
1083,2332.62,7.63
